openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,timestamp,topLongShortAccountRatio_longAccount,topLongShortAccountRatio_longShortRatio,topLongShortAccountRatio_shortAccount,topLongShortPositionRatio_longAccount,topLongShortPositionRatio_longShortRatio,topLongShortPositionRatio_shortAccount,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol
58640.88800000,2024848767.46543300,1625673600000,0.5490,1.2173,0.4510,0.5241,1.1014,0.4759,0.5477,1.2109,0.4523,1.0710,7590.9800,8130.0880
58385.39700000,2018098837.40661000,1625677200000,0.5553,1.2487,0.4447,0.5241,1.1011,0.4759,0.5560,1.2523,0.4440,0.9776,5676.5060,5549.3830
58055.89900000,2009539479.31249433,1625680800000,0.5593,1.2691,0.4407,0.5238,1.1000,0.4762,0.5597,1.2712,0.4403,1.1376,5636.7480,6412.2520
57624.61200000,1997384301.14400000,1625684400000,0.5594,1.2696,0.4406,0.5231,1.0971,0.4769,0.5627,1.2868,0.4373,0.9639,4878.7750,4702.7990
57384.47000000,1986215758.40392016,1625688000000,0.5630,1.2883,0.4370,0.5225,1.0944,0.4775,0.5667,1.3079,0.4333,0.9951,4268.5830,4247.5750
57424.62800000,1982480768.87704000,1625691600000,0.5675,1.3121,0.4325,0.5215,1.0897,0.4785,0.5701,1.3261,0.4299,0.7304,13433.2510,9812.2960
57358.21800000,1962907200.57420000,1625695200000,0.5788,1.3742,0.4212,0.5216,1.0902,0.4784,0.5775,1.3669,0.4225,1.0237,7569.6980,7749.3650
57903.44900000,1977566958.18539137,1625698800000,0.5832,1.3992,0.4168,0.5208,1.0867,0.4792,0.5850,1.4096,0.4150,0.9079,16089.1430,14606.8070
58223.93300000,1970793378.38983000,1625702400000,0.6009,1.5056,0.3991,0.5205,1.0856,0.4795,0.5995,1.4969,0.4005,0.8634,31033.7570,26793.4750
59844.75000000,1986020809.46515717,1625706000000,0.6182,1.6192,0.3818,0.5192,1.0797,0.4808,0.6215,1.6420,0.3785,1.1975,10276.9650,12306.5260
60340.03700000,2008051867.52041000,1625709600000,0.6316,1.7144,0.3684,0.5173,1.0717,0.4827,0.6425,1.7972,0.3575,1.0483,5233.3050,5485.8420
60659.34800000,2022768455.77328000,1625713200000,0.6338,1.7307,0.3662,0.5172,1.0714,0.4828,0.6475,1.8369,0.3525,0.9881,13226.0130,13068.2980
61373.85400000,2043139009.73187437,1625716800000,0.6350,1.7397,0.3650,0.5173,1.0715,0.4827,0.6472,1.8345,0.3528,1.0507,8612.6030,9049.2330
61683.51000000,2052468214.77180000,1625720400000,0.6372,1.7563,0.3628,0.5177,1.0733,0.4823,0.6506,1.8620,0.3494,0.6386,14125.4570,9020.1090
62624.71800000,2058212751.29606857,1625724000000,0.6363,1.7495,0.3637,0.5192,1.0799,0.4808,0.6477,1.8385,0.3523,1.0628,22493.4230,23905.2000
61593.21500000,2038237127.39065000,1625727600000,0.6408,1.7840,0.3592,0.5184,1.0765,0.4816,0.6527,1.8794,0.3473,0.8065,35876.9930,28934.4220
61633.10900000,2002178664.43296000,1625731200000,0.6444,1.8121,0.3556,0.5212,1.0886,0.4788,0.6413,1.7878,0.3587,1.1631,18653.3290,21695.6140
61680.62400000,2007301060.30043939,1625734800000,0.6475,1.8369,0.3525,0.5196,1.0817,0.4804,0.6541,1.8910,0.3459,1.0039,12488.3630,12537.0280
62538.54300000,2035392851.68388370,1625738400000,0.6509,1.8645,0.3491,0.5181,1.0753,0.4819,0.6619,1.9577,0.3381,0.9768,10692.7540,10444.8220
63672.53200000,2066478018.10296000,1625742000000,0.6486,1.8458,0.3514,0.5170,1.0706,0.4830,0.6601,1.9420,0.3399,1.0145,20887.8930,21190.9120
63104.25500000,2061463298.55290000,1625745600000,0.6466,1.8297,0.3534,0.5181,1.0752,0.4819,0.6561,1.9078,0.3439,1.0411,20937.8600,21798.4730
63718.13500000,2076192348.02135000,1625749200000,0.6470,1.8329,0.3530,0.5165,1.0683,0.4835,0.6614,1.9533,0.3386,1.0550,12853.9820,13560.4060
63591.77400000,2065380693.88476000,1625752800000,0.6465,1.8289,0.3535,0.5156,1.0646,0.4844,0.6585,1.9283,0.3415,1.1126,11082.1610,12329.7280
63578.48500000,2081607918.54860000,1625756400000,0.6382,1.7640,0.3618,0.5174,1.0723,0.4826,0.6514,1.8686,0.3486,1.0708,11990.8810,12839.2670
