openInterestHist_sumOpenInterest,openInterestHist_sumOpenInterestValue,timestamp,topLongShortAccountRatio_longAccount,topLongShortAccountRatio_longShortRatio,topLongShortAccountRatio_shortAccount,topLongShortPositionRatio_longAccount,topLongShortPositionRatio_longShortRatio,topLongShortPositionRatio_shortAccount,globalLongShortAccountRatio_longAccount,globalLongShortAccountRatio_longShortRatio,globalLongShortAccountRatio_shortAccount,takerlongshortRatio_buySellRatio,takerlongshortRatio_sellVol,takerlongshortRatio_buyVol
320761.31700000,604145223.04031587,1624402800000,0.5302,1.1286,0.4698,0.4843,0.9393,0.5157,0.5694,1.3223,0.4306,1.0418,74740.3610,77866.6350
319405.10400000,599892575.65526310,1624406400000,0.5242,1.1017,0.4758,0.4855,0.9437,0.5145,0.5607,1.2763,0.4393,1.0997,182333.7790,200517.4610
314691.92300000,607653453.99239666,1624410000000,0.5478,1.2114,0.4522,0.4853,0.9429,0.5147,0.5792,1.3764,0.4208,1.1931,143554.1380,171275.4630
324436.13000000,650406842.89490000,1624413600000,0.5600,1.2727,0.4400,0.4858,0.9446,0.5142,0.5966,1.4789,0.4034,0.9672,33478.7660,32381.3710
321929.41000000,647673683.50850000,1624420800000,0.5640,1.2936,0.4360,0.4858,0.9447,0.5142,0.5986,1.4913,0.4014,0.9696,77824.8040,75462.6480
318005.54100000,635887059.83901000,1624424400000,0.5678,1.3137,0.4322,0.4839,0.9375,0.5161,0.6002,1.5013,0.3998,1.1539,89791.7070,103610.7790
321682.17000000,655588262.46000000,1624428000000,0.5653,1.3004,0.4347,0.4823,0.9315,0.5177,0.5991,1.4944,0.4009,0.8915,71195.2890,63467.2910
325770.20200000,652898925.71337649,1624431600000,0.5724,1.3386,0.4276,0.4816,0.9290,0.5184,0.6051,1.5323,0.3949,1.0457,63648.5050,66556.0970
320117.81900000,641711381.14559000,1624435200000,0.5683,1.3164,0.4317,0.4808,0.9260,0.5192,0.6025,1.5157,0.3975,0.9023,101352.3610,91445.3860
315182.15800000,620905858.78506362,1624438800000,0.5616,1.2810,0.4384,0.4802,0.9237,0.5198,0.5898,1.4378,0.4102,1.1622,68636.5360,79766.5160
311318.62800000,618639822.96236448,1624442400000,0.5588,1.2665,0.4412,0.4807,0.9258,0.5193,0.5874,1.4237,0.4126,1.2072,58231.3820,70295.2920
312614.85400000,627586823.99916000,1624446000000,0.5693,1.3218,0.4307,0.4793,0.9206,0.5207,0.6032,1.5202,0.3968,0.9930,70900.0490,70406.8930
312206.98100000,621455796.59027764,1624449600000,0.5719,1.3359,0.4281,0.4786,0.9180,0.5214,0.6084,1.5536,0.3916,1.0719,51780.5440,55501.6330
313773.33100000,630520645.38316130,1624453200000,0.5717,1.3348,0.4283,0.4808,0.9259,0.5192,0.6083,1.5530,0.3917,1.0139,141436.3330,143404.3470
317275.08100000,632249149.44459637,1624456800000,0.5733,1.3436,0.4267,0.4826,0.9326,0.5174,0.6091,1.5582,0.3909,0.9991,75088.1290,75019.2470
318937.13800000,636894173.08840694,1624460400000,0.5743,1.3491,0.4257,0.4796,0.9216,0.5204,0.6154,1.6001,0.3846,0.9293,95242.0470,88512.2070
313539.62500000,618880188.80625000,1624464000000,0.5664,1.3063,0.4336,0.4764,0.9098,0.5236,0.6071,1.5452,0.3929,0.9989,103745.1640,103635.1660
311512.95200000,618612715.39464070,1624467600000,0.5629,1.2878,0.4371,0.4791,0.9199,0.5209,0.5995,1.4969,0.4005,1.0215,42208.0000,43115.4050
310031.10400000,611522289.81514122,1624471200000,0.5617,1.2815,0.4383,0.4776,0.9141,0.5224,0.6018,1.5113,0.3982,0.8990,92344.8850,83014.9530
305005.46100000,593374759.28935351,1624474800000,0.5595,1.2701,0.4405,0.4787,0.9182,0.5213,0.5972,1.4826,0.4028,0.8683,72041.9690,62550.8630
297533.05900000,569911157.40402026,1624478400000,0.5647,1.2973,0.4353,0.4819,0.9300,0.5181,0.5926,1.4546,0.4074,1.0808,64317.4970,69514.1650
297425.50600000,574022989.24082134,1624482000000,0.5638,1.2925,0.4362,0.4818,0.9299,0.5182,0.5942,1.4643,0.4058,1.1694,62963.7440,73631.3550
298828.09400000,580485525.71876000,1624485600000,0.5707,1.3294,0.4293,0.4809,0.9265,0.5191,0.6042,1.5265,0.3958,0.9636,48612.2160,46842.2270
301474.66700000,587354049.47609000,1624489200000,0.5753,1.3546,0.4247,0.4809,0.9265,0.5191,0.6097,1.5621,0.3903,1.1428,38659.6050,44181.1530
304571.76900000,598949520.89157000,1624492800000,0.5788,1.3742,0.4212,0.4802,0.9240,0.5198,0.6188,1.6233,0.3812,0.9545,47408.1600,45252.4130
308344.70900000,597060193.82506000,1624496400000,0.5675,1.3121,0.4325,0.4808,0.9261,0.5192,0.6083,1.5530,0.3917,0.7704,62778.2960,48363.2190
308203.38400000,587667652.60562459,1624500000000,0.5567,1.2558,0.4433,0.4801,0.9235,0.5199,0.5969,1.4808,0.4031,0.9979,81585.8590,81414.2210
303998.04200000,575372449.68123387,1624503600000,0.5534,1.2391,0.4466,0.4793,0.9204,0.5207,0.5944,1.4655,0.4056,1.1691,66162.5220,77353.5040
307347.33000000,585505666.99048082,1624507200000,0.5565,1.2548,0.4435,0.4784,0.9171,0.5216,0.6002,1.5013,0.3998,0.8804,70895.9430,62416.9120
305888.88800000,582495032.75176000,1624510800000,0.5520,1.2321,0.4480,0.4766,0.9107,0.5234,0.5987,1.4919,0.4013,1.2049,47398.1930,57111.7180
301690.46800000,581445022.07172000,1624514400000,0.5484,1.2143,0.4516,0.4745,0.9031,0.5255,0.5993,1.4956,0.4007,0.9702,45369.5150,44018.1870
300985.00700000,580052674.70803680,1624518000000,0.5487,1.2158,0.4513,0.4746,0.9033,0.5254,0.5969,1.4808,0.4031,1.0223,54734.8140,55957.1010
305169.75900000,585986717.01013227,1624521600000,0.5464,1.2046,0.4536,0.4743,0.9021,0.5257,0.5919,1.4504,0.4081,1.2221,67563.6500,82567.6200
315709.22500000,616169694.43250000,1624525200000,0.5401,1.1744,0.4599,0.4777,0.9144,0.5223,0.5841,1.4044,0.4159,1.0151,58561.1720,59447.4230
317286.21600000,615982632.60456000,1624528800000,0.5392,1.1701,0.4608,0.4790,0.9194,0.5210,0.5853,1.4114,0.4147,0.8873,46593.6580,41343.4970
325382.87100000,629136003.76395647,1624532400000,0.5370,1.1598,0.4630,0.4805,0.9248,0.5195,0.5812,1.3878,0.4188,1.2528,58383.2310,73145.2900
324859.25400000,638621959.78363876,1624536000000,0.5484,1.2143,0.4516,0.4803,0.9241,0.5197,0.5949,1.4685,0.4051,1.0812,86547.2270,93572.6390
318917.19900000,630798000.13444900,1624539600000,0.5497,1.2207,0.4503,0.4801,0.9234,0.5199,0.5939,1.4624,0.4061,0.9263,54399.6370,50390.7720
320175.52400000,629913325.91760000,1624543200000,0.5602,1.2738,0.4398,0.4798,0.9224,0.5202,0.5994,1.4963,0.4006,1.0330,39012.4600,40300.4490
321440.05600000,631846950.66989639,1624546800000,0.5605,1.2753,0.4395,0.4790,0.9195,0.5210,0.6017,1.5107,0.3983,0.9823,161641.4400,158776.1740
316252.81600000,628039622.63470331,1624550400000,0.5426,1.1863,0.4574,0.4812,0.9275,0.5188,0.5810,1.3866,0.4190,1.0904,88937.0630,96974.8030
317721.07700000,639060997.06703000,1624554000000,0.5417,1.1820,0.4583,0.4820,0.9305,0.5180,0.5818,1.3912,0.4182,1.0776,92496.2750,99676.4290
319374.99800000,646685752.78149196,1624557600000,0.5425,1.1858,0.4575,0.4818,0.9299,0.5182,0.5799,1.3804,0.4201,1.0393,50325.3890,52301.4140
320707.52100000,645776664.28560000,1624561200000,0.5453,1.1993,0.4547,0.4812,0.9277,0.5188,0.5847,1.4079,0.4153,0.9549,30567.9190,29189.6400
315629.12600000,634792212.90466879,1624564800000,0.5422,1.1844,0.4578,0.4819,0.9300,0.5181,0.5803,1.3827,0.4197,0.9908,34679.3920,34359.9330
311465.98900000,624639450.48006868,1624568400000,0.5460,1.2026,0.4540,0.4810,0.9270,0.5190,0.5819,1.3918,0.4181,1.0158,32527.0660,33040.0750
315922.33100000,631668144.72253046,1624572000000,0.5455,1.2002,0.4545,0.4813,0.9278,0.5187,0.5794,1.3776,0.4206,0.8992,59281.8140,53307.5390
320367.85400000,635574581.87206000,1624575600000,0.5565,1.2548,0.4435,0.4820,0.9306,0.5180,0.5856,1.4131,0.4144,1.0962,40038.4660,43890.6670
316522.00300000,629762219.91501565,1624579200000,0.5579,1.2619,0.4421,0.4807,0.9256,0.5193,0.5912,1.4462,0.4088,1.0008,69443.5130,69498.4140
317861.57600000,630366734.90866614,1624582800000,0.5618,1.2821,0.4382,0.4795,0.9212,0.5205,0.5981,1.4882,0.4019,1.0464,70382.2490,73645.6080
